Περιοχή,ΤΚ,"Νέες συνδέσεις","Μήνας σύνδεσης"
ΠΕΤΡΟΥΠΟΛΗ,13231,3,03/2024
ΠΕΤΡΟΥΠΟΛΗ,13232,14,03/2024
ΠΕΥΚΑΚΙΑ,15343,1,03/2024
ΠΕΥΚΗ,15121,2,03/2024
ΠΥΡΓΟΥΘΙ,13672,3,03/2024
ΣΑΡΩΝΙΚΟΣ,17341,2,03/2024
ΣΕΛΗΝΙΑ,18902,1,03/2024
ΣΙΔΕΡΑ,19300,1,03/2024
"ΣΤΟΥΝΤΙΟ ΑΛΦΑ",15126,1,03/2024
"ΣΥΝ. ΤΥΠΟΓΡΑΦΩΝ",16346,1,03/2024
ΣΧΙΣΤΟ,18122,2,03/2024
ΤΑΜΠΟΥΡΙΑ,18756,3,03/2024
ΤΑΞΙΑΡΧΕΣ,18121,1,03/2024
ΤΑΥΡΟΣ,17778,3,03/2024
ΤΕΡΨΙΘΕΑ,16561,1,03/2024
ΤΕΡΨΙΘΕΑ,16562,4,03/2024
ΤΡΑΥΜΑΤΙΩΝ,17456,2,03/2024
"ΤΡΕΙΣ ΓΕΦΥΡΕΣ",10445,1,03/2024
"ΤΡΕΙΣ ΓΕΦΥΡΕΣ",11145,4,03/2024
ΤΣΑΜΗ,18900,2,03/2024
ΥΜΗΤΤΟΣ,17237,3,03/2024
ΦΙΛΟΘΕΗ,15123,1,03/2024
ΧΑΙΔΑΡΙ,12461,4,03/2024
ΧΑΛΑΝΔΡΙ,15232,3,03/2024
ΧΑΛΑΝΔΡΙ,15233,5,03/2024
ΧΑΛΑΝΔΡΙ,15234,24,03/2024
ΧΑΛΚΗΔΟΝΑ,18451,1,03/2024
ΧΑΜΟΜΗΛΟ,13678,1,03/2024
ΧΑΡΑΥΓΗ,13671,1,03/2024
ΧΑΡΑΥΓΗ,13673,1,03/2024
ΧΑΤΖΗΚΥΡΙΑΚΕΙΟ,18538,2,03/2024
"ΨΙΛΗ ΑΜΜΟΣ",18900,1,03/2024
ΑΒΕΡΩΦ,11522,1,03/2025
"ΑΓ. ΑΘΑΝΑΣΙΟΣ",13672,1,03/2025
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,1,03/2025
"ΑΓ. ΑΝΝΑ",13671,2,03/2025
"ΑΓ. ΑΝΤΩΝΙΟΣ",18758,1,03/2025
"ΑΓ. ΒΑΡΒΑΡΑ",12351,2,03/2025
"ΑΓ. ΒΑΡΒΑΡΑ",17235,2,03/2025
"ΑΓ. ΒΑΡΒΑΡΑ",17563,5,03/2025
"ΑΓ. ΒΑΡΒΑΡΑ",18120,1,03/2025
"ΑΓ. ΓΕΩΡΓΙΟΣ",18120,1,03/2025
"ΑΓ. ΓΕΩΡΓΙΟΣ",18755,1,03/2025
"ΑΓ. ΓΕΩΡΓΙΟΣ",18756,1,03/2025
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,1,03/2025
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",11631,1,03/2025
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17341,4,03/2025
"ΑΓ. ΔΗΜΗΤΡΙΟΣ",17343,12,03/2025
"ΑΓ. ΘΩΜΑΣ",15124,1,03/2025
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,6,03/2025
"ΑΓ. ΙΩΑΝΝΗΣ",17234,1,03/2025
"ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ",16346,1,03/2025
"ΑΓ. ΜΑΡΙΝΑ",16343,5,03/2025
"ΑΓ. ΜΑΡΙΝΑ",16344,2,03/2025
"ΑΓ. ΜΑΡΙΝΑ",16345,1,03/2025
"ΑΓ. ΜΗΝΑΣ",18757,1,03/2025
"ΑΓ. ΝΕΙΛΟΣ",18538,1,03/2025
"ΑΓ. ΝΙΚΟΛΑΟΣ",13451,1,03/2025
"ΑΓ. ΝΙΚΟΛΑΟΣ",18450,1,03/2025
"ΑΓ. ΝΙΚΟΛΑΟΣ",18453,1,03/2025
"ΑΓ. ΝΙΚΟΛΑΟΣ",18863,1,03/2025
"ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΑΣ",19006,1,03/2025
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15341,4,03/2025
"ΑΓ. ΠΑΡΑΣΚΕΥΗ",15342,16,03/2025
"ΑΓ. ΠΕΤΡΟΣ",13672,1,03/2025
"ΑΓ. ΠΕΤΡΟΣ",13675,1,03/2025
"ΑΓ. ΣΟΦΙΑ",18545,2,03/2025
"ΑΓ. ΣΟΦΙΑ",18546,1,03/2025
"ΑΓ. ΦΑΝΟΥΡΙΟΣ",18900,1,03/2025
"ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ",15122,7,03/2025
ΑΔΑΜΕΣ,14564,1,03/2025
"ΑΙΑΝΤΕΙΟ ΖΑΡΜΠΑΛΑ",18903,1,03/2025
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,1,03/2025
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10442,2,03/2025
ΑΛΙΜΟΣ,17455,4,03/2025
ΑΛΣΟΥΠΟΛΗ,14235,1,03/2025
ΑΛΩΝΙΑ,14562,6,03/2025
ΑΜΠΕΛΟΚΗΠΟΙ,11527,1,03/2025
ΑΜΦΙΘΕΑ,17563,9,03/2025
ΑΜΦΙΘΕΑ,17564,3,03/2025
ΑΝΑΓΕΝΝΗΣΗ,12243,5,03/2025
ΑΝΑΚΑΣΑ,13562,3,03/2025
ΑΝΑΛΗΨΗ,18452,4,03/2025
ΑΝΑΣΤΑΣΗ,18755,1,03/2025
ΑΝΘΕΩΝ,17343,3,03/2025
ΑΝΘΟΥΠΟΛΗ,12135,3,03/2025
ΑΝΟΙΞΗ,17342,6,03/2025
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18121,3,03/2025
"ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ",18122,2,03/2025
"ΑΝΩ ΚΥΨΕΛΗ",11364,5,03/2025
"ΑΝΩ ΛΙΟΥΜΗ",12243,5,03/2025
ΑΠΟΛΛΩΝ,18233,1,03/2025
ΑΠΟΛΛΩΝ,18541,5,03/2025
"ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,3,03/2025
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,4,03/2025
ΑΡΓΥΡΟΥΠΟΛΗ,16451,24,03/2025
ΑΡΓΥΡΟΥΠΟΛΗ,16452,12,03/2025
ΑΡΜΕΝΙΚΑ,18450,2,03/2025
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,3,03/2025
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,6,03/2025
"ΑΣΠΡΑ ΧΩΜΑΤΑ",18454,1,03/2025
ΑΣΠΡΟΠΥΡΓΟΣ,19300,5,03/2025
ΑΣΤΥΝΟΜΙΚΑ,16342,9,03/2025
ΑΣΥΡΜΑΤΟΣ,16672,1,03/2025
ΑΣΥΡΜΑΤΟΣ,17341,1,03/2025
ΒΑΡΗ,16672,2,03/2025
ΒΑΡΚΙΖΑ,16672,2,03/2025
ΒΕΙΚΟΥ,11742,1,03/2025
ΒΛΥΧΑΔΑ,19100,1,03/2025
ΒΟΥΛΑ,16673,20,03/2025
ΒΟΥΛΙΑΓΜΕΝΗ,16671,1,03/2025
ΒΡΥΩΝΗ,18536,1,03/2025
ΒΥΡΩΝΑΣ,16231,2,03/2025
ΓΑΛΑΤΣΙ,11146,1,03/2025
ΓΕΡΑΚΑΣ,15344,2,03/2025
"ΓΕΡΜΑΝΙΚΟΣ ΔΡΟΜΟΣ ΒΟΡΕΙΟ",19100,8,03/2025
ΓΕΡΟΒΟΥΝΟ,13451,10,03/2025
ΓΕΦΥΡΑ,18450,2,03/2025
ΓΗΠΕΔΟ,18451,1,03/2025
"ΓΗΠΕΔΟ-ΝΕΟ ΜΕΛΙ",19100,5,03/2025
ΓΗΡΟΚΟΜΕΙΟ,11524,2,03/2025
ΓΚΥΖΗ,11475,15,03/2025
"ΓΛΥΚΑ ΝΕΡΑ",15354,2,03/2025
ΓΛΥΦΑΔΑ,16561,1,03/2025
ΓΛΥΦΑΔΑ,16674,4,03/2025
ΓΛΥΦΑΔΑ,16675,9,03/2025
ΓΟΥΒΑ,11631,9,03/2025
ΓΟΥΒΑ,11632,1,03/2025
ΔΑΣΟΣ,12462,7,03/2025
ΔΑΦΝΗ,17234,3,03/2025
ΔΑΦΝΗ,17235,16,03/2025
ΔΑΦΝΗ,17236,1,03/2025
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,1,03/2025
"ΔΕΞ. ΙΕΡΑΣ ΟΔΟΥ",12242,9,03/2025
ΔΗΜΟΤΙΚΟ,18531,7,03/2025
ΔΗΜΟΤΙΚΟ,18534,1,03/2025
ΔΗΜΟΤΙΚΟ,18535,1,03/2025
ΔΙΚΗΓΟΡΙΚΑ,16673,2,03/2025
ΔΡΑΠΕΤΣΩΝΑ,18648,1,03/2025
"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ",17342,6,03/2025
ΕΚΤΕΛΩΝΙΣΤΩΝ,17456,8,03/2025
ΕΛΕΥΣΙΝΑ,19200,5,03/2025
ΕΞΑΡΧΕΙΑ,10680,1,03/2025
ΕΥΓΕΝΕΙΑ,18755,6,03/2025
ΕΦΟΡΙΑΚΩΝ,17456,1,03/2025
ΖΑΝΕΙΟ,18537,3,03/2025
ΖΕΦΥΡΙ,13461,1,03/2025
ΖΩΓΡΑΦΟΥ,15772,1,03/2025
ΖΩΓΡΑΦΟΥ,15773,1,03/2025
ΗΛΙΟΥΠΟΛΗ,16342,3,03/2025
ΗΛΙΟΥΠΟΛΗ,16346,1,03/2025
ΗΡΑΚΛΕΙΟ,14121,14,03/2025
ΗΡΑΚΛΕΙΟ,14122,7,03/2025
ΘΗΣΕΙΟ,11851,2,03/2025
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,1,03/2025
ΙΕΡΑΠΟΛΗ,12244,1,03/2025
ΙΛΙΟΝ,13121,5,03/2025
ΙΛΙΟΝ,13122,3,03/2025
ΙΛΙΟΝ,13123,1,03/2025
ΚΑΙΣΑΡΙΑΝΗ,16121,1,03/2025
ΚΑΙΣΑΡΙΑΝΗ,16122,1,03/2025
ΚΑΛΑΜΑΚΙ,17455,6,03/2025
ΚΑΛΑΜΑΚΙ,18532,5,03/2025
ΚΑΛΛΙΘΕΑ,17671,2,03/2025
ΚΑΛΛΙΘΕΑ,17673,2,03/2025
ΚΑΛΛΙΠΟΛΗ,18539,5,03/2025
ΚΑΛΛΙΦΡΟΝΑ,11256,1,03/2025
ΚΑΛΥΜΝΙΩΝ,16673,2,03/2025
ΚΑΜΑΤΕΡΟ,13451,1,03/2025
ΚΑΜΕΝΑ,18452,1,03/2025
ΚΑΜΙΝΙΑ,18540,1,03/2025
ΚΑΜΙΝΙΑ,18541,2,03/2025
ΚΑΝΑΚΙΑ,18903,1,03/2025
ΚΑΝΑΡΙΑ,16345,1,03/2025
ΚΑΡΒΕΛΑΣ,16674,1,03/2025
ΚΑΡΕΑΣ,16233,1,03/2025
"ΚΑΤΩ ΕΛΛΗΝΙΚΟ",16777,1,03/2025
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14561,1,03/2025
"ΚΑΤΩ ΠΑΤΗΣΙΑ",10445,1,03/2025
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,7,03/2025
"ΚΑΤΩ ΧΑΛΑΝΔΡΙ",15232,1,03/2025
ΚΕΝΤΡΟ,10551,1,03/2025
ΚΕΝΤΡΟ,10552,1,03/2025
ΚΕΝΤΡΟ,10560,1,03/2025
ΚΕΝΤΡΟ,10562,2,03/2025
ΚΕΝΤΡΟ,10563,3,03/2025
ΚΕΝΤΡΟ,10677,19,03/2025
ΚΕΝΤΡΟ,10680,1,03/2025
ΚΕΝΤΡΟ,18535,1,03/2025
ΚΕΝΤΡΟ,18536,1,03/2025
ΚΗΦΙΣΙΑ,14561,2,03/2025
ΚΗΦΙΣΙΑ,14562,2,03/2025
"ΚΟΚ. ΜΥΛΟΣ",14342,1,03/2025
ΚΟΚΚΙΝΟΒΡΑΧΟΣ,18757,1,03/2025
ΚΟΛΙΑΤΣΟΥ,11254,1,03/2025
ΚΟΝΤΟΠΕΥΚΟ,15343,2,03/2025
"ΚΟΡΜΠΙ ΦΑΡΟΥ",16672,1,03/2025
ΚΟΡΥΔΑΛΛΟΣ,18122,2,03/2025
ΚΟΥΚΑΚΙ,11741,3,03/2025
ΚΟΥΚΑΚΙ,11742,1,03/2025
ΚΡΑΤΙΚΟ,18454,2,03/2025
ΚΡΗΝΗ,18453,6,03/2025
ΚΥΘΗΡΙΩΝ,17456,1,03/2025
ΚΥΨΕΛΗ,11362,1,03/2025
ΚΥΨΕΛΗ,11363,1,03/2025
"ΚΥΨΕΛΗ Ν. ΚΩΝ/ΠΟΛΗ",11363,1,03/2025
"ΛΑΚΚΑ ΒΑΒΟΥΛΑ",18532,1,03/2025
ΛΑΜΠΡΙΝΗ,11142,10,03/2025
ΛΕΥΚΑ,18543,1,03/2025
ΛΙΒΑΔΙ-ΜΥΛΟΙ,18900,1,03/2025
ΛΙΟΥΜΗ,12243,4,03/2025
ΛΥΚΟΒΡΥΣΗ,14123,2,03/2025
ΜΑΓΟΥΛΑ,19018,1,03/2025
ΜΑΝΙΑΤΙΚΑ,18543,5,03/2025
ΜΑΝΙΑΤΙΚΑ,18546,4,03/2025
ΜΑΡΟΥΣΙ,15124,5,03/2025
ΜΑΡΟΥΣΙ,15125,3,03/2025
"ΜΕΓ. ΣΧΙΝΑ",13679,1,03/2025
"ΜΕΓΑΡΑ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ",19100,6,03/2025
ΜΕΛΙΣΣΙΑ,15127,7,03/2025
ΜΕΤΑΜΟΡΦΩΣΗ,14451,3,03/2025
ΜΕΤΑΜΟΡΦΩΣΗ,14452,6,03/2025
ΜΕΤΑΜΟΡΦΩΣΗ,16232,1,03/2025
ΜΕΤΑΜΟΡΦΩΣΗ,18345,4,03/2025
ΜΕΤΑΞΟΥΡΓΕΙΟ,10436,4,03/2025
ΜΕΤΣ,11636,6,03/2025
ΜΗΛΑΔΕΖΑ,16672,1,03/2025
ΜΙΧΕΛΗ,13123,3,03/2025
ΜΟΣΧΑΤΟ,18345,1,03/2025
ΜΟΥΣΕΙΟ,10683,1,03/2025
ΜΠΟΥΡΝΑΖΙ,12133,9,03/2025
ΜΥΚΟΝΙΑΤΙΚΑ,13561,10,03/2025
"ΝΕΑ ΖΩΗ",15341,1,03/2025
"ΝΕΑ ΖΩΗ",19300,1,03/2025
"ΝΕΑ ΙΩΝΙΑ",14231,1,03/2025
"ΝΕΑ ΙΩΝΙΑ",14234,1,03/2025
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,2,03/2025
"ΝΕΑ ΜΑΔΥΤΟΣ",14342,4,03/2025
"ΝΕΑ ΠΕΝΤΕΛΗ",15236,1,03/2025
"ΝΕΑ ΠΕΡΑΜΟΣ",19006,1,03/2025
"ΝΕΑ ΣΜΥΡΝΗ",17122,14,03/2025
"ΝΕΑ ΣΜΥΡΝΗ",17124,13,03/2025
"ΝΕΑ ΦΙΛΟΘΕΗ",11524,1,03/2025
ΝΕΑΠΟΛΗ,13672,1,03/2025
ΝΕΑΠΟΛΗ,13675,1,03/2025
ΝΕΑΠΟΛΗ,14233,1,03/2025
ΝΕΑΠΟΛΗ,18451,1,03/2025
ΝΕΑΠΟΛΗ,18452,2,03/2025
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14121,2,03/2025
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14122,2,03/2025
"ΝΕΟΣ ΚΟΣΜΟΣ",11744,2,03/2025
ΝΙΚΑΙΑ,18542,2,03/2025
ΝΤΑΜΑΡΑΚΙΑ,12244,1,03/2025
ΟΔΗΓΗΤΡΙΑ,18543,1,03/2025
"ΟΣΙΑ ΞΕΝΗ",18450,2,03/2025
"Π. ΗΡΑΚΛΕΙΟ",14122,1,03/2025
"Π. ΚΟΚΚΙΝΙΑ",18454,4,03/2025
"Π. ΚΟΚΚΙΝΙΑ",18542,2,03/2025
ΠΑΓΚΡΑΤΙ,11633,1,03/2025
ΠΑΓΚΡΑΤΙ,11634,1,03/2025
"ΠΑΛ. ΜΕΝΙΔΙ",13674,5,03/2025
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17561,5,03/2025
"ΠΑΛΑΙΟ ΦΑΛΗΡΟ",17562,1,03/2025
ΠΑΛΑΤΙΑΝΗ,13121,3,03/2025
ΠΑΛΑΤΙΑΝΗ,13122,12,03/2025
ΠΑΛΛΗΝΗ,15351,14,03/2025
ΠΑΝΟΡΑΜΑ,14564,1,03/2025
ΠΑΝΟΡΑΜΑ,16673,3,03/2025
ΠΑΠΑΓΟΣ,15669,5,03/2025
ΠΑΠΑΔΟΠΟΥΛΟΥ,18863,1,03/2025
ΠΑΠΑΣΤΡΑΤΟΥ,18545,1,03/2025
ΠΑΡΑΔΕΙΣΟΣ,15343,2,03/2025
ΠΑΡΑΛΙΑ,18345,1,03/2025
ΠΑΤΗΜΑ,15238,21,03/2025
ΠΕΙΡΑΙΚΗ,18539,5,03/2025
ΠΕΝΤΕΛΗ,15236,3,03/2025
ΠΕΡΑΜΑ,18863,3,03/2025
ΠΕΡΙΒΟΛΑΚΙ,18454,1,03/2025
ΠΕΡΙΣΣΟΣ,14232,3,03/2025
ΠΕΡΙΣΤΕΡΙ,12131,4,03/2025
ΠΕΡΙΣΤΕΡΙ,12132,4,03/2025
ΠΕΡΙΣΤΕΡΙ,12134,5,03/2025
ΠΕΡΙΣΤΕΡΙ,12135,3,03/2025
ΠΕΡΙΣΤΕΡΙ,12136,12,03/2025
ΠΕΡΙΣΤΕΡΙ,12137,1,03/2025
ΠΕΤΡΟΥΠΟΛΗ,13231,9,03/2025
ΠΕΤΡΟΥΠΟΛΗ,13232,3,03/2025
ΠΕΥΚΑΚΙΑ,15343,5,03/2025
ΠΕΥΚΗ,15121,8,03/2025
ΠΛΑΚΑ,10557,1,03/2025
"ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ",18120,1,03/2025
ΠΟΛΥΔΡΟΣΟ,15125,2,03/2025
ΠΟΛΥΔΡΟΣΟ,15233,9,03/2025
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,1,03/2025
"ΠΡΟΦ. ΗΛΙΑΣ",18531,3,03/2025
"ΠΡΟΦ. ΗΛΙΑΣ",18534,3,03/2025
"ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ",13562,1,03/2025
ΣΑΡΩΝΙΚΟΣ,17341,3,03/2025
ΣΑΡΩΝΙΚΟΣ,17343,1,03/2025
ΣΑΦΡΑΜΠΟΛΙΣ,14233,10,03/2025
ΣΕΛΗΝΙΑ,18902,2,03/2025
ΣΕΠΟΛΙΑ,10443,5,03/2025
ΣΙΔΕΡΑ,19300,2,03/2025
ΣΤΑΘΜΟΣ,18346,1,03/2025
"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ",10440,1,03/2025
"ΣΥΝ ΔΩΔΩΝΗΣ",15126,2,03/2025
"ΣΥΝ. ΤΥΠΟΓΡΑΦΩΝ",16346,1,03/2025
ΣΩΡΟΥ,15125,1,03/2025
ΤΑΜΠΟΥΡΙΑ,18546,1,03/2025
ΤΑΞΙΑΡΧΕΣ,18121,2,03/2025
ΤΑΥΡΟΣ,17778,13,03/2025
ΤΕΡΨΙΘΕΑ,16561,7,03/2025
ΤΕΡΨΙΘΕΑ,16562,4,03/2025
ΤΖΙΤΖΙΦΙΕΣ,17673,1,03/2025
ΤΡΑΥΜΑΤΙΩΝ,17456,1,03/2025
ΥΜΗΤΤΟΣ,17237,1,03/2025
ΦΙΛΟΘΕΗ,15123,4,03/2025
ΦΙΛΟΘΕΗ,15237,1,03/2025
ΧΑΙΔΑΡΙ,12461,15,03/2025
ΧΑΛΑΝΔΡΙ,15231,8,03/2025
ΧΑΛΑΝΔΡΙ,15232,9,03/2025
ΧΑΛΑΝΔΡΙ,15233,2,03/2025
ΧΑΛΑΝΔΡΙ,15234,10,03/2025
ΧΑΛΑΝΔΡΙ,15235,1,03/2025
ΧΑΡΑΥΓΗ,13673,2,03/2025
ΧΑΡΑΥΓΗ,17236,1,03/2025
ΧΑΡΑΥΓΗ,18755,3,03/2025
ΧΑΣΑΝΙ,16452,1,03/2025
ΧΑΤΖΗΚΥΡΙΑΚΕΙΟ,18538,1,03/2025
ΧΟΛΑΡΓΟΣ,15561,12,03/2025
ΧΟΛΑΡΓΟΣ,15562,1,03/2025
ΨΑΡΙ,19300,1,03/2025
"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ",10440,1,04/2023
"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ",10441,1,04/2023
ΣΕΠΟΛΙΑ,10443,4,04/2023
"ΠΡΟΦ. ΔΑΝΙΗΛ",10447,1,04/2023
ΚΕΝΤΡΟ,10551,1,04/2023
ΨΥΡΡΗ,10554,1,04/2023
ΚΕΝΤΡΟ,10555,1,04/2023
ΠΛΑΚΑ,10557,1,04/2023
ΚΕΝΤΡΟ,10561,2,04/2023
ΚΕΝΤΡΟ,10562,3,04/2023
ΚΕΝΤΡΟ,10671,1,04/2023
ΚΟΛΩΝΑΚΙ,10676,1,04/2023
ΣΤΡΕΦΗ,10678,2,04/2023
ΛΑΜΠΡΙΝΗ,11142,1,04/2023
"ΑΓ. ΕΛΕΥΘΕΡΙΟΣ",11143,1,04/2023
"ΑΝΩ ΠΑΤΗΣΙΑ",11143,3,04/2023
ΚΛΩΝΑΡΙΔΟΥ,11144,1,04/2023
ΓΑΛΑΤΣΙ,11146,3,04/2023
ΓΑΛΑΤΣΙ,11147,3,04/2023
"ΑΓ. ΝΙΚΟΛΑΟΣ",11253,1,04/2023
ΚΥΨΕΛΗ,11363,1,04/2023
"ΝΕΑ ΚΥΨΕΛΗ",11363,1,04/2023
ΝΕΑΠΟΛΗ,11473,1,04/2023
"ΝΕΑ ΚΥΨΕΛΗ",11476,1,04/2023
ΑΒΕΡΩΦ,11522,9,04/2023
ΕΛΛΗΝΟΡΩΣΩΝ,11525,1,04/2023
ΑΜΠΕΛΟΚΗΠΟΙ,11527,31,04/2023
ΓΟΥΔΙ,11527,1,04/2023
ΓΟΥΒΑ,11631,11,04/2023
"ΑΓ. ΑΡΤΕΜΙΟΣ",11632,10,04/2023
ΜΕΤΣ,11636,1,04/2023
ΦΙΛΟΠΑΠΠΟΥ,11741,1,04/2023
ΚΥΝΟΣΑΡΓΟΥΣ,11743,6,04/2023
"ΑΝΩ ΠΕΤΡΑΛΩΝΑ",11851,1,04/2023
"ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ",11853,3,04/2023
ΓΚΑΖΟΧΩΡΙ,11854,5,04/2023
ΒΟΤΑΝΙΚΟΣ,11855,8,04/2023
ΠΕΡΙΣΤΕΡΙ,12131,8,04/2023
"Ν. ΚΟΛΟΚΥΝΘΟΥ",12132,3,04/2023
ΠΕΡΙΣΤΕΡΙ,12132,1,04/2023
ΜΠΟΥΡΝΑΖΙ,12133,4,04/2023
ΠΕΡΙΣΤΕΡΙ,12134,6,04/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12135,3,04/2023
ΠΕΡΙΣΤΕΡΙ,12135,1,04/2023
ΠΕΡΙΣΤΕΡΙ,12136,3,04/2023
"ΑΓ. ΙΕΡΟΘΕΟΣ",12137,4,04/2023
"ΑΣΠΡΑ ΧΩΜΑΤΑ",12137,2,04/2023
ΠΕΡΙΣΤΕΡΙ,12137,4,04/2023
"ΑΓ. ΣΑΒΒΑΣ",12241,1,04/2023
ΑΙΓΑΛΕΩ,12241,2,04/2023
"ΑΡ. ΙΕΡΑΣ ΟΔΟΥ",12241,2,04/2023
"ΑΓ. ΣΠΥΡΙΔΩΝ",12242,1,04/2023
"ΑΝΩ ΛΙΟΥΜΗ",12243,1,04/2023
ΛΙΟΥΜΗ,12243,1,04/2023
ΙΕΡΑΠΟΛΗ,12244,3,04/2023
"ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ",12351,1,04/2023
"ΑΓ. ΓΡΗΓΟΡΟΥΣΑ",12461,1,04/2023
ΧΑΙΔΑΡΙ,12461,3,04/2023
ΔΑΣΟΣ,12462,2,04/2023
ΙΛΙΟΝ,13121,1,04/2023
ΠΑΛΑΤΙΑΝΗ,13121,2,04/2023
ΙΛΙΟΝ,13122,5,04/2023
ΙΛΙΟΝ,13123,11,04/2023
ΜΙΧΕΛΗ,13123,3,04/2023
ΠΕΤΡΟΥΠΟΛΗ,13231,6,04/2023
ΠΕΤΡΟΥΠΟΛΗ,13232,1,04/2023
ΓΕΡΟΒΟΥΝΟ,13451,5,04/2023
ΚΑΜΑΤΕΡΟ,13451,3,04/2023
ΖΕΦΥΡΙ,13461,1,04/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13561,4,04/2023
"ΑΓ. ΑΝΑΡΓΥΡΟΙ",13562,1,04/2023
ΑΝΑΚΑΣΑ,13562,4,04/2023
"ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ",13562,1,04/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13673,1,04/2023
ΧΑΡΑΥΓΗ,13673,1,04/2023
ΝΕΑΠΟΛΗ,13674,1,04/2023
"ΠΑΛ. ΜΕΝΙΔΙ",13674,2,04/2023
"ΑΓ. ΠΕΤΡΟΣ",13675,2,04/2023
ΝΕΑΠΟΛΗ,13675,1,04/2023
ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676,3,04/2023
ΛΑΘΕΑ,13678,1,04/2023
"ΜΕΓ. ΣΧΙΝΑ",13679,1,04/2023
ΜΠΟΣΚΙΖΑ,13679,2,04/2023
ΠΑΝΟΡΑΜΑ,13679,2,04/2023
ΗΡΑΚΛΕΙΟ,14121,8,04/2023
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14121,1,04/2023
ΗΡΑΚΛΕΙΟ,14122,4,04/2023
"ΝΕΟ ΗΡΑΚΛΕΙΟ",14122,2,04/2023
"Π. ΗΡΑΚΛΕΙΟ",14122,2,04/2023
ΛΥΚΟΒΡΥΣΗ,14123,6,04/2023
"ΝΕΑ ΙΩΝΙΑ",14231,7,04/2023
ΝΕΑΠΟΛΗ,14232,4,04/2023
ΠΕΡΙΣΣΟΣ,14232,1,04/2023
"ΝΕΑ ΙΩΝΙΑ",14233,6,04/2023
ΝΕΑΠΟΛΗ,14233,3,04/2023
ΣΑΦΡΑΜΠΟΛΙΣ,14233,2,04/2023
ΑΛΣΟΥΠΟΛΗ,14235,2,04/2023
"ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",14341,3,04/2023
"ΚΟΚ. ΜΥΛΟΣ",14342,1,04/2023
"ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ",14342,1,04/2023
"ΝΕΑ ΧΑΛΚΗΔΟΝΑ",14343,1,04/2023
ΜΕΤΑΜΟΡΦΩΣΗ,14452,6,04/2023
ΚΗΦΙΣΙΑ,14561,1,04/2023
ΠΑΛΙΑΓΙΑΝΝΗ,14562,1,04/2023
"ΚΑΤΩ ΚΗΦΙΣΙΑ",14564,1,04/2023
"ΝΕΑ ΚΗΦΙΣΙΑ",14564,3,04/2023
ΠΕΥΚΗ,15121,5,04/2023
ΜΑΡΟΥΣΙ,15122,1,04/2023
"ΑΓ. ΘΩΜΑΣ",15123,1,04/2023
ΜΑΡΟΥΣΙ,15124,2,04/2023
